	LEVEL		|				SONG
------------------------+-------------------------------------------------------------
JOHN GUTTER		|	FLUMPTY'S JAM
PIZZASCAPE		|	BUILD OUR MACHINE [OG / ROCK]
ANCIENT CHEESE		|	LOOKING FOR A SHOWDOWN / DA.F.P #2
BLOODSAUCE DUNGEON	|	HANDS OF A SLAYER
VS. PEPPERMAN		|	
			|
OREGANO DESERT		|	
WASTEYARD		|	FORGET THIS
FUN FARM!		|	 / YELLOW {?}
FASTFOOD SALOON		|	
VS. THE VIGILANTE	|	
			|
CRUST COVE		|	
GNOME FOREST		|	COME TO MY BACK GARDEN / WE ARE THE GARDEN GNOMES
DEEP-DISH 9		|	AMBUSH
GOLF			|	
VS. THE NOISE		|	
			|
THE PIG CITY		|	 / 
PEPPIBOT FACTORY	|	 / 
OH SHIT!		|	
R.R.F			|	UNTIL DAWN [REMAKE] /  / CASTLE THAT BURNS
VS. FAKE PEPPINO	|	 /
			|
PIZZASCARE		|	
DON'T MAKE A SOUND	|	
WAR			|	ATOMIC RENEGADE
VS. PIZZAFACE		|	 /  / KNOW YOUR PLACE
THE C.T.O.P		|	TRINITY {?}
			|
MAIN MENU		|	PRESS START TOGETHER
PAUSE			|	CASTLE THAT NEVER DIES [OG]
TUTORIAL		|	MR DIRTY BALLS [V1]
GUSTAVO TUTORIAL	|	MR DIRTY BALLS [V2]
D RANK			|	F
C RANK			|	
B RANK			|	LET'S PLAY OUTRO
A RANK			|	LOST SUBJECT THEME
S RANK			|	ADVOCATE THEME
P RANK			|	WE STAND IN LINE
TIME'S UP		|	GOING AWAY
